name,time,humidity,info,location,sensor_id,temperature
senzore_data,1745126665891915501,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745126953193397889,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745126991619633658,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745127069005856880,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745127173635742745,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745127394473402365,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745128294421319976,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745128718546767587,0.0,SHT20,"48.9757129374215,17.08574914434807",1,0.0
senzore_data,1745128763761727611,62.2,SHT20,"48.9757129374215,17.08574914434807",1,15.3
senzore_data,1745128823823672349,61.8,SHT20,"48.9757129374215,17.08574914434807",1,15.4
senzore_data,1745129978771496642,59.7,SHT20,"48.9757129374215,17.08574914434807",1,15.8
senzore_data,1745130632855404916,59.6,SHT20,"48.9757129374215,17.08574914434807",1,16.1
senzore_data,1745131637782492230,58.8,SHT20,"48.9757129374215,17.08574914434807",1,16.7
senzore_data,1745132341845769186,57.1,SHT20,"48.9757129374215,17.08574914434807",1,16.9
senzore_data,1745133130843434958,56.4,SHT20,"48.9757129374215,17.08574914434807",1,17.2
senzore_data,1745134012889776712,56.0,SHT20,"48.9757129374215,17.08574914434807",1,17.5
senzore_data,1745134950811669760,55.7,SHT20,"48.9757129374215,17.08574914434807",1,18.0
senzore_data,1745135767747746134,53.7,SHT20,"48.9757129374215,17.08574914434807",1,18.2
senzore_data,1745136517751681123,53.7,SHT20,"48.9757129374215,17.08574914434807",1,18.4
senzore_data,1745137672783632405,53.5,SHT20,"48.9757129374215,17.08574914434807",1,18.8
senzore_data,1745138571810807162,52.3,SHT20,"48.9757129374215,17.08574914434807",1,19.1
senzore_data,1745139374853523518,51.3,SHT20,"48.9757129374215,17.08574914434807",1,19.5
