name,time,humidity,location,sensor_id,temperature
senzore_data,1744302976330733721,42.9,"49.5944,18.0103",1,28.7
senzore_data,1744302980672037218,43,"49.5944,18.0103",1,28.7
senzore_data,1744303293532814599,70.2,"49.5944,18.0103",1,29.9
senzore_data,1744303296284247544,69.8,"49.5944,18.0103",1,29.8
senzore_data,1744303427160544957,67.6,"49.5944,18.0103",1,29
senzore_data,1744303429447889196,67.6,"49.5944,18.0103",1,29
senzore_data,1744303735031793357,31,"49.5944,18.0103",1,23.9
senzore_data,1744303737784881855,31.3,"49.5944,18.0103",1,23.8
senzore_data,1744304638039305785,41.9,"49.5944,18.0103",1,13.5
senzore_data,1744304759328995372,42.6,"49.5944,18.0103",1,13.3
senzore_data,1744305661118983690,43.6,"49.5944,18.0103",1,12.8
senzore_data,1744305961912443033,44.3,"49.5944,18.0103",1,12.4
senzore_data,1744306263909881990,45.1,"49.5944,18.0103",1,12.1
senzore_data,1744306569440355375,45.8,"49.5944,18.0103",1,11.9
senzore_data,1744307470952355406,47,"49.5944,18.0103",1,11.4
senzore_data,1744307771753179943,47.3,"49.5944,18.0103",1,11.4
senzore_data,1744308672608632602,46.8,"49.5944,18.0103",1,11.8
senzore_data,1744308973405033582,47.3,"49.5944,18.0103",1,11.8
senzore_data,1744309877032512715,48.8,"49.5944,18.0103",1,11.7
senzore_data,1744310777851284523,47.4,"49.5944,18.0103",1,12.1
senzore_data,1744311079128200251,47.9,"49.5944,18.0103",1,11.9
senzore_data,1744311981661762185,49.3,"49.5944,18.0103",1,11.7
senzore_data,1744312282922133142,48.4,"49.5944,18.0103",1,11.8
senzore_data,1744313183707562938,48.7,"49.5944,18.0103",1,11.5
senzore_data,1744313485592380967,49.1,"49.5944,18.0103",1,11.4
senzore_data,1744314386329725925,49.5,"49.5944,18.0103",1,11.4
senzore_data,1744314907081370443,49.9,"48.9757129374215,17.08574914434807",1,11.4
senzore_data,1744314944453848800,50,"48.9757129374215,17.08574914434807",1,11.4
senzore_data,1744315308883728400,50.2,"48.9757129374215,17.08574914434807",1,11.3
senzore_data,1744315311632911915,50.2,"48.9757129374215,17.08574914434807",1,11.3
senzore_data,1744316211883368687,51,"48.9757129374215,17.08574914434807",1,10.9
senzore_data,1744316513149966279,51.5,"48.9757129374215,17.08574914434807",1,10.7
senzore_data,1744316815862487246,52.1,"48.9757129374215,17.08574914434807",1,10.5
senzore_data,1744317717418255450,53.6,"48.9757129374215,17.08574914434807",1,9.9
senzore_data,1744317838231078302,53.8,"48.9757129374215,17.08574914434807",1,9.8
senzore_data,1744318741028267940,54.6,"48.9757129374215,17.08574914434807",1,9.6
senzore_data,1744319046024057751,54.6,"48.9757129374215,17.08574914434807",1,9.6
senzore_data,1744319950265236065,55,"48.9757129374215,17.08574914434807",1,9.8
senzore_data,1744320252336534548,64.5,"48.9757129374215,17.08574914434807",1,11
senzore_data,1744320373160511213,58.8,"48.9757129374215,17.08574914434807",1,11.8
senzore_data,1744320495189298941,53,"48.9757129374215,17.08574914434807",1,11.7
senzore_data,1744320616006432102,53.2,"48.9757129374215,17.08574914434807",1,11.3
senzore_data,1744320916779667356,53.1,"48.9757129374215,17.08574914434807",1,10.7
senzore_data,1744321037608993570,53.2,"48.9757129374215,17.08574914434807",1,10.5
senzore_data,1744321938427572194,53.8,"48.9757129374215,17.08574914434807",1,10.2
senzore_data,1744322239200775759,53.8,"48.9757129374215,17.08574914434807",1,10
senzore_data,1744323142693502991,54.3,"48.9757129374215,17.08574914434807",1,9.7
senzore_data,1744323443453778237,53.9,"48.9757129374215,17.08574914434807",1,9.7
senzore_data,1744324347773221106,54.1,"48.9757129374215,17.08574914434807",1,9.8
senzore_data,1744325248627870934,54.6,"48.9757129374215,17.08574914434807",1,9.9
